ws,year,mo,precip,Ca,Mg,K,Na,Al,NH4,pH,SO4,NO3,Cl,PO4,SiO2
6,1963,6,67.5,0.30,0.07,0.10,0.07,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
6,1963,7,70.1,0.29,0.06,0.11,0.07,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
6,1963,8,147.0,0.19,0.04,0.08,0.04,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
6,1963,9,39.8,0.20,0.08,0.52,0.09,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
6,1963,10,29.8,0.60,0.13,0.89,0.08,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
6,1963,11,209.5,0.18,0.09,0.41,0.14,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
6,1963,12,72.9,0.11,0.02,0.42,0.07,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
6,1964,1,117.2,0.08,0.02,0.04,0.13,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
6,1964,2,49.5,0.14,0.04,0.06,0.09,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
6,1964,3,146.7,0.22,0.04,0.05,0.08,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
6,1964,4,110.1,0.53,0.09,0.06,0.09,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
6,1964,5,102.6,0.48,0.09,0.22,0.07,-3.000,-3.000,-3.00,-3.00,-3.000,-3.00,-3.0000,-3.0
6,1964,6,57.9,0.58,0.10,0.27,0.06,-3.000,0.300,4.25,4.20,0.770,0.39,-3.0000,-3.0
6,1964,7,125.6,0.29,0.04,0.21,0.07,-3.000,0.104,3.87,6.71,1.168,0.39,-3.0000,-3.0
6,1964,8,154.5,0.23,0.02,0.12,0.05,-3.000,0.132,4.38,2.09,0.132,0.39,-3.0000,-3.0
6,1964,9,38.6,0.60,0.36,0.22,0.21,-3.000,0.389,3.32,5.53,1.362,0.39,-3.0000,-3.0
6,1964,10,54.0,1.06,0.53,0.37,1.37,-3.000,0.100,4.07,1.48,0.033,0.39,-3.0000,-3.0
6,1964,11,120.4,0.28,0.29,0.15,0.49,-3.000,0.053,4.22,2.28,0.382,0.39,-3.0000,-3.0
6,1964,12,117.2,0.18,0.06,0.04,0.07,-3.000,0.076,4.49,1.96,0.978,0.39,-3.0000,-3.0
6,1965,1,66.3,0.12,0.03,0.04,0.14,-3.000,0.862,4.66,1.94,0.563,0.39,-3.0000,-3.0
6,1965,2,103.2,0.15,0.04,0.05,0.18,-3.000,0.093,4.41,1.72,0.336,0.39,-3.0000,-3.0
6,1965,3,28.7,0.44,0.10,0.15,0.29,-3.000,0.123,4.22,2.92,1.130,0.39,-3.0000,-3.0
6,1965,4,83.1,0.20,0.03,0.11,0.08,-3.000,0.553,4.22,3.79,1.488,0.39,-3.0000,-3.0
6,1965,5,25.9,0.66,0.30,0.23,0.46,-3.000,0.069,4.29,4.85,1.256,0.39,-3.0000,-3.0
6,1965,6,115.3,0.17,0.11,0.06,0.11,-3.000,0.042,4.13,3.95,0.362,0.50,-3.0000,-3.0
6,1965,7,99.1,0.15,0.20,0.07,0.19,-3.000,0.289,4.20,4.12,0.193,0.50,-3.0000,-3.0
6,1965,8,84.1,0.12,0.02,0.03,0.27,-3.000,0.126,4.09,4.20,1.124,0.50,-3.0000,-3.0
6,1965,9,193.1,0.12,0.02,0.02,0.12,-3.000,0.088,4.15,3.36,0.894,0.50,-3.0000,-3.0
6,1965,10,127.3,0.23,0.04,0.05,0.10,-3.000,0.170,4.26,2.67,1.258,0.50,-3.0000,-3.0
6,1965,11,152.7,0.22,0.03,0.06,0.07,-3.000,0.266,4.18,3.19,1.804,0.50,-3.0000,-3.0
6,1965,12,77.5,0.10,0.03,0.08,0.13,-3.000,0.384,4.09,3.55,2.794,0.50,-3.0000,-3.0
6,1966,1,71.7,0.14,0.02,0.05,0.12,-3.000,0.124,4.18,1.59,2.030,0.50,-3.0000,-3.0
6,1966,2,66.8,0.05,0.01,0.02,0.08,-3.000,0.143,4.33,1.52,0.701,0.50,-3.0000,-3.0
6,1966,3,129.5,0.14,0.03,0.03,0.13,-3.000,0.200,4.30,2.20,1.373,0.50,-3.0000,-3.0
6,1966,4,69.5,0.20,0.02,0.04,0.09,-3.000,0.545,3.98,4.52,3.105,0.50,-3.0000,-3.0
6,1966,5,93.7,0.85,0.05,0.06,0.45,-3.000,0.349,4.04,5.16,2.352,0.50,-3.0000,-3.0
6,1966,6,117.3,0.16,0.03,0.07,0.10,-3.000,0.197,4.13,4.04,1.431,0.39,-3.0000,-3.0
6,1966,7,99.6,0.30,0.05,0.06,0.11,-3.000,0.145,3.93,6.06,2.122,0.39,-3.0000,-3.0
6,1966,8,200.0,0.13,0.02,0.01,0.04,-3.000,0.130,4.08,3.54,1.049,0.39,-3.0000,-3.0
6,1966,9,117.6,0.18,0.03,0.02,0.08,-3.000,0.117,4.25,2.72,0.990,0.39,-3.0000,-3.0
6,1966,10,87.0,0.31,0.03,0.02,0.10,-3.000,0.122,3.98,2.63,0.985,0.39,-3.0000,-3.0
6,1966,11,153.5,0.14,0.03,0.05,0.16,-3.000,0.184,4.03,2.41,1.505,0.39,-3.0000,-3.0
6,1966,12,107.4,0.04,0.01,0.02,0.07,-3.000,0.030,4.32,0.99,0.789,0.39,-3.0000,-3.0
6,1967,1,62.7,0.14,0.04,0.08,0.20,-3.000,0.258,4.08,3.08,2.566,0.39,-3.0000,-3.0
6,1967,2,111.2,0.06,0.02,0.10,0.11,-3.000,0.124,4.44,1.57,1.455,0.39,-3.0000,-3.0
6,1967,3,57.2,0.26,0.04,0.05,0.09,-3.000,0.306,4.08,3.76,2.097,0.39,-3.0000,-3.0
6,1967,4,148.9,0.09,0.02,0.03,0.05,-3.000,0.192,4.15,2.75,1.458,0.39,-3.0000,-3.0
6,1967,5,117.6,0.15,0.04,0.07,0.06,-3.000,0.369,4.11,3.47,1.823,0.39,-3.0000,-3.0
6,1967,6,81.7,0.16,0.03,0.07,0.04,-3.000,0.423,4.03,5.40,1.553,0.75,-3.0000,-3.0
6,1967,7,116.2,0.12,0.04,0.03,0.35,-3.000,0.297,3.87,4.96,1.972,0.55,-3.0000,-3.0
6,1967,8,134.0,0.26,0.05,0.07,0.04,-3.000,0.171,4.02,4.02,1.341,0.25,-3.0000,-3.0
6,1967,9,142.3,0.06,0.02,0.03,0.06,-3.000,0.144,4.28,2.31,0.803,0.22,-3.0000,-3.0
6,1967,10,124.8,0.09,0.06,0.15,0.22,-3.000,0.263,4.26,2.74,1.610,0.59,-3.0000,-3.0
6,1967,11,117.9,0.16,0.16,0.04,0.15,-3.000,0.220,4.33,1.81,1.913,0.33,-3.0000,-3.0
6,1967,12,159.9,0.06,0.02,0.01,0.12,-3.000,0.091,4.39,1.87,1.510,0.30,-3.0000,-3.0
