ws,year,mo,flow,Ca,Mg,K,Na,Al,NH4,pH,SO4,NO3,Cl,PO4,SiO2
9,1995,6,15.8,0.71,0.22,0.11,0.67,0.402,0.020,4.38,4.61,0.010,0.53,0.0080,4.8
9,1995,7,24.3,0.79,0.28,0.12,0.84,0.377,0.022,4.43,5.24,0.010,0.56,0.0080,6.8
9,1995,8,90.6,0.71,0.23,0.07,0.63,0.448,0.025,4.29,4.96,0.010,0.49,0.0080,6.0
9,1995,9,9.8,0.96,0.34,0.23,1.19,0.206,0.028,4.82,5.59,0.010,0.59,0.0060,9.2
9,1995,10,196.5,0.72,0.25,0.16,0.70,0.483,0.017,4.33,5.10,0.010,0.83,0.0050,6.3
9,1995,11,153.8,0.64,0.20,0.11,0.61,0.455,0.020,4.40,4.44,0.012,0.84,0.0050,4.8
9,1995,12,9.9,0.80,0.27,0.17,0.85,0.236,0.014,4.74,4.65,0.142,0.65,0.0040,6.4
9,1996,1,170.2,0.71,0.24,0.15,0.70,0.339,0.012,4.54,4.44,0.421,0.66,0.0040,5.0
9,1996,2,83.1,0.78,0.25,0.27,1.11,0.282,0.012,4.66,4.58,0.565,1.23,0.0040,5.3
9,1996,3,18.9,0.75,0.25,0.16,0.75,0.289,0.005,4.65,4.60,0.320,0.70,0.0030,5.6
9,1996,4,251.5,0.54,0.18,0.13,0.53,0.362,0.005,4.46,3.83,0.294,0.65,0.0060,3.1
9,1996,5,273.9,0.47,0.14,0.09,0.42,0.392,0.011,4.49,3.32,0.082,0.53,0.0060,2.5
9,1996,6,68.7,0.60,0.19,0.10,0.63,0.367,0.013,4.46,3.76,0.010,0.49,0.0070,4.5
9,1996,7,170.5,0.57,0.16,0.05,0.54,0.452,0.005,4.35,3.72,0.010,0.23,0.0080,4.6
9,1996,8,5.0,0.73,0.22,0.12,0.90,0.257,0.005,4.63,4.36,0.010,0.34,0.0050,6.9
9,1996,9,2.9,1.01,0.36,0.38,1.40,0.165,0.015,4.91,5.41,0.010,0.59,0.0070,10.1
9,1996,10,95.2,0.58,0.22,0.33,0.63,0.401,0.006,4.18,4.27,0.010,0.68,0.0080,4.9
9,1996,11,107.6,0.67,0.22,0.15,0.69,0.335,0.006,4.41,4.47,0.014,0.72,0.0050,5.4
9,1996,12,157.0,0.55,0.18,0.13,0.57,0.426,0.020,4.38,3.79,0.136,0.52,0.0090,3.8
9,1997,1,21.2,0.67,0.23,0.14,0.67,0.336,0.012,4.38,4.57,0.313,0.45,0.0020,5.0
9,1997,2,27.0,0.70,0.24,0.16,0.72,0.327,0.007,4.39,4.59,0.424,0.44,0.0030,5.5
9,1997,3,42.4,0.69,0.23,0.16,0.70,0.356,0.008,4.29,4.72,0.478,0.42,0.0030,5.2
9,1997,4,143.1,0.56,0.19,0.13,0.57,0.426,0.008,4.27,4.37,0.406,0.31,0.0030,4.0
9,1997,5,275.2,0.47,0.15,0.10,0.45,0.358,0.005,4.33,3.61,0.144,0.21,0.0040,2.9
9,1997,6,29.1,0.65,0.21,0.15,0.69,0.258,0.029,4.63,3.89,0.010,0.29,0.0040,4.7
9,1997,7,81.2,0.68,0.22,0.11,0.72,0.290,0.017,4.49,4.06,0.010,0.29,0.0050,6.0
9,1997,8,27.5,0.73,0.23,0.12,0.81,0.321,0.006,4.45,4.67,0.014,0.32,0.0070,7.2
9,1997,9,14.3,0.73,0.24,0.17,0.84,0.288,0.018,4.57,4.50,0.010,0.37,0.0050,7.4
9,1997,10,19.9,0.71,0.26,0.21,0.82,0.376,0.027,4.52,4.87,0.010,0.44,0.0050,7.4
9,1997,11,107.8,0.67,0.23,0.16,0.67,0.446,0.013,4.40,4.81,0.015,0.53,0.0060,5.8
9,1997,12,9.7,0.81,0.27,0.16,0.91,0.262,0.012,4.73,4.72,0.157,0.47,0.0030,7.3
9,1998,1,67.7,0.67,0.24,0.12,0.64,0.392,0.005,4.37,4.82,0.536,0.42,0.0050,5.4
9,1998,2,30.0,0.75,0.25,0.17,0.79,0.286,0.005,4.62,4.79,0.302,0.43,0.0030,6.6
9,1998,3,169.9,0.58,0.20,0.13,0.57,0.352,0.018,4.43,4.04,0.371,0.27,0.0050,4.4
9,1998,4,180.0,0.48,0.16,0.10,0.45,0.384,0.007,4.37,3.57,0.172,0.22,0.0070,3.5
9,1998,5,69.5,0.53,0.17,0.10,0.49,0.328,0.005,4.36,3.63,0.010,0.24,0.0080,3.9
9,1998,6,239.3,0.59,0.18,0.11,0.54,0.331,0.005,4.40,3.43,0.010,0.22,0.0070,4.4
